Orders for a sample 30-Day Period
,,,,,,,,,,
,Customer #,,,,,,,,,
Day,1234,3093,1780,2121,4537,1141,5292,1330,3395,8540
1,8,5,9,3,4,12,5,7,13,8
2,5,5,10,3,4,-,1,10,6,4
3,2,6,6,4,16,4,10,2,7,2
4,3,-,2,4,5,11,10,10,12,8
5,3,8,7,4,11,3,1,9,8,8
6,14,8,3,1,12,11,2,8,13,6
7,5,4,5,3,10,2,2,5,9,5
8,11,9,9,6,5,10,5,10,12,2
9,9,4,7,2,10,9,4,3,8,2
10,11,9,4,3,8,-,-,9,6,2
11,10,-,8,-,9,12,9,1,13,7
12,2,3,9,6,13,3,9,5,7,5
13,5,1,9,6,14,8,3,1,8,8
14,7,6,3,2,15,9,-,7,2,3
15,3,4,4,6,13,8,1,2,13,3
16,6,7,2,6,9,3,3,10,10,6
17,2,5,9,3,10,-,5,5,9,7
18,2,1,4,5,7,12,10,9,6,4
19,13,6,5,6,6,12,1,-,7,8
20,4,5,7,2,8,3,-,9,8,5
21,14,-,3,2,12,10,7,7,4,8
22,4,9,4,4,12,5,10,4,7,2
23,13,4,8,-,7,1,-,9,12,5
24,5,1,2,6,6,4,7,4,13,5
25,10,-,2,2,7,1,6,7,4,2
26,11,9,3,-,13,2,5,6,2,3
27,14,9,9,3,11,10,-,4,13,2
28,12,9,5,2,12,9,-,7,13,2
29,14,1,3,-,12,7,-,2,7,8
30,10,1,8,1,14,5,7,3,2,2
